,DATE,Close
425,2021-02-28,121.26
426,2021-03-01,127.79
427,2021-03-02,125.12
428,2021-03-03,122.06
429,2021-03-04,120.13
430,2021-03-05,121.42
431,2021-03-06,121.42
432,2021-03-07,121.42
433,2021-03-08,116.36
434,2021-03-09,121.09
435,2021-03-10,119.98
436,2021-03-11,121.96
437,2021-03-12,121.03
438,2021-03-13,121.03
439,2021-03-14,121.03
440,2021-03-15,123.99
441,2021-03-16,125.57
442,2021-03-17,124.76
443,2021-03-18,120.53
444,2021-03-19,119.99
445,2021-03-20,119.99
446,2021-03-21,119.99
447,2021-03-22,123.39
448,2021-03-23,122.54
449,2021-03-24,120.09
450,2021-03-25,120.59
451,2021-03-26,121.21
452,2021-03-27,121.21
453,2021-03-28,121.21
454,2021-03-29,121.39
455,2021-03-30,119.9
456,2021-03-31,122.15
457,2021-04-01,123.0
458,2021-04-02,123.0
459,2021-04-03,123.0
460,2021-04-04,123.0
461,2021-04-05,125.9
462,2021-04-06,126.21
463,2021-04-07,127.9
464,2021-04-08,130.36
465,2021-04-09,133.0
466,2021-04-10,133.0
467,2021-04-11,133.0
468,2021-04-12,131.24
469,2021-04-13,134.43
470,2021-04-14,132.03
471,2021-04-15,134.5
472,2021-04-16,134.16
473,2021-04-17,134.16
474,2021-04-18,134.16
475,2021-04-19,134.84
476,2021-04-20,133.11
477,2021-04-21,133.5
478,2021-04-22,131.94
479,2021-04-23,134.32
480,2021-04-24,134.32
481,2021-04-25,134.32
482,2021-04-26,134.72
483,2021-04-27,134.39
484,2021-04-28,133.58
485,2021-04-29,133.48
486,2021-04-30,131.46
487,2021-05-01,131.46
488,2021-05-02,131.46
489,2021-05-03,132.54
490,2021-05-04,127.85
491,2021-05-05,128.1
492,2021-05-06,129.74
493,2021-05-07,130.21
494,2021-05-08,130.21
495,2021-05-09,130.21
496,2021-05-10,126.85
497,2021-05-11,125.91
498,2021-05-12,122.77
499,2021-05-13,124.97
500,2021-05-14,127.45
501,2021-05-15,127.45
502,2021-05-16,127.45
503,2021-05-17,126.27
504,2021-05-18,124.85
505,2021-05-19,124.69
506,2021-05-20,127.31
507,2021-05-21,125.43
508,2021-05-22,125.43
509,2021-05-23,125.43
510,2021-05-24,127.1
511,2021-05-25,126.9
512,2021-05-26,126.85
513,2021-05-27,125.28
514,2021-05-28,124.61
515,2021-05-29,124.61
516,2021-05-30,124.61
517,2021-05-31,124.61
518,2021-06-01,124.28
519,2021-06-02,125.06
520,2021-06-03,123.54
521,2021-06-04,125.89
522,2021-06-05,125.89
523,2021-06-06,125.89
524,2021-06-07,125.9
525,2021-06-08,126.74
526,2021-06-09,127.13
527,2021-06-10,126.11
528,2021-06-11,127.35
529,2021-06-12,127.35
530,2021-06-13,127.35
531,2021-06-14,130.48
532,2021-06-15,129.64
533,2021-06-16,130.15
534,2021-06-17,131.79
535,2021-06-18,130.46
536,2021-06-19,130.46
537,2021-06-20,130.46
538,2021-06-21,132.3
539,2021-06-22,133.98
540,2021-06-23,133.7
541,2021-06-24,133.41
542,2021-06-25,133.11
543,2021-06-26,133.11
544,2021-06-27,133.11
545,2021-06-28,134.78
546,2021-06-29,136.33
547,2021-06-30,136.96
548,2021-07-01,137.27
549,2021-07-02,139.96
550,2021-07-03,139.96
551,2021-07-04,139.96
552,2021-07-05,139.96
553,2021-07-06,142.02
554,2021-07-07,144.57
555,2021-07-08,143.24
556,2021-07-09,145.11
557,2021-07-10,145.11
558,2021-07-11,145.11
559,2021-07-12,144.5
560,2021-07-13,145.64
561,2021-07-14,149.15
562,2021-07-15,148.48
563,2021-07-16,146.39
564,2021-07-17,146.39
565,2021-07-18,146.39
566,2021-07-19,142.45
567,2021-07-20,146.15
568,2021-07-21,145.4
569,2021-07-22,146.8
570,2021-07-23,148.56
571,2021-07-24,148.56
572,2021-07-25,148.56
573,2021-07-26,148.99
574,2021-07-27,146.77
575,2021-07-28,144.98
576,2021-07-29,145.64
577,2021-07-30,145.86
578,2021-07-31,145.86
579,2021-08-01,145.86
580,2021-08-02,145.52
581,2021-08-03,147.36
582,2021-08-04,146.95
583,2021-08-05,147.06
584,2021-08-06,146.14
585,2021-08-07,146.14
586,2021-08-08,146.14
587,2021-08-09,146.09
588,2021-08-10,145.6
589,2021-08-11,145.86
590,2021-08-12,148.89
591,2021-08-13,149.1
592,2021-08-14,149.1
593,2021-08-15,149.1
594,2021-08-16,151.12
595,2021-08-17,150.19
596,2021-08-18,146.36
597,2021-08-19,146.7
598,2021-08-20,148.19
599,2021-08-21,148.19
600,2021-08-22,148.19
601,2021-08-23,149.71
602,2021-08-24,149.62
603,2021-08-25,148.36
604,2021-08-26,147.54
605,2021-08-27,148.6
606,2021-08-28,148.6
607,2021-08-29,148.6
608,2021-08-30,153.12
609,2021-08-31,151.83
610,2021-09-01,152.51
611,2021-09-02,153.65
612,2021-09-03,154.3
613,2021-09-04,154.3
614,2021-09-05,154.3
615,2021-09-06,154.3
616,2021-09-07,156.69
617,2021-09-08,155.11
618,2021-09-09,154.07
619,2021-09-10,148.97
620,2021-09-11,148.97
621,2021-09-12,148.97
622,2021-09-13,149.55
623,2021-09-14,148.12
624,2021-09-15,149.03
625,2021-09-16,148.79
626,2021-09-17,146.06
627,2021-09-18,146.06
628,2021-09-19,146.06
629,2021-09-20,142.94
630,2021-09-21,143.43
631,2021-09-22,145.85
632,2021-09-23,146.83
633,2021-09-24,146.92
634,2021-09-25,146.92
635,2021-09-26,146.92
636,2021-09-27,145.37
637,2021-09-28,141.91
638,2021-09-29,142.83
639,2021-09-30,141.5
640,2021-10-01,142.65
641,2021-10-02,142.65
642,2021-10-03,142.65
643,2021-10-04,139.14
644,2021-10-05,141.11
645,2021-10-06,142.0
646,2021-10-07,143.29
647,2021-10-08,142.9
648,2021-10-09,142.9
649,2021-10-10,142.9
650,2021-10-11,142.81
651,2021-10-12,141.51
652,2021-10-13,140.91
653,2021-10-14,143.76
654,2021-10-15,144.84
655,2021-10-16,144.84
656,2021-10-17,144.84
657,2021-10-18,146.55
658,2021-10-19,148.76
659,2021-10-20,149.26
660,2021-10-21,149.48
661,2021-10-22,148.69
662,2021-10-23,148.69
663,2021-10-24,148.69
664,2021-10-25,148.64
665,2021-10-26,149.32
666,2021-10-27,148.85
667,2021-10-28,152.57
668,2021-10-29,149.8
669,2021-10-30,149.8
670,2021-10-31,149.8
671,2021-11-01,148.96
672,2021-11-02,150.02
673,2021-11-03,151.49
674,2021-11-04,150.96
675,2021-11-05,151.28
676,2021-11-06,151.28
677,2021-11-07,151.28
678,2021-11-08,150.44
679,2021-11-09,150.81
680,2021-11-10,147.92
681,2021-11-11,147.87
682,2021-11-12,149.99
683,2021-11-13,149.99
684,2021-11-14,149.99
685,2021-11-15,150.0
686,2021-11-16,151.0
687,2021-11-17,153.49
688,2021-11-18,157.87
689,2021-11-19,160.55
690,2021-11-20,160.55
691,2021-11-21,160.55
692,2021-11-22,161.02
693,2021-11-23,161.41
694,2021-11-24,161.94
695,2021-11-25,161.94
696,2021-11-26,156.81
697,2021-11-27,156.81
698,2021-11-28,156.81
699,2021-11-29,160.24
700,2021-11-30,165.3
701,2021-12-01,164.77
702,2021-12-02,163.76
703,2021-12-03,161.84
704,2021-12-04,161.84
